"SOLUCION [10.0, 0.0]"
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g11m int#1";"[11.0]";"[17.0]";"[5.0]";"[16.0]";"[11.0]";"[17.0]";"[5.0]";"[16.0]";"[65.0]";"[24.0]"
"g21m int#2";"[10.0]";"[17.0]";"[5.0]";"[17.0]";"[10.0]";"[17.0]";"[5.0]";"[17.0]";"[65.0]";"[24.0]"
"g31m int#3";"[11.0]";"[17.0]";"[5.0]";"[16.0]";"[11.0]";"[17.0]";"[5.0]";"[16.0]";"[65.0]";"[24.0]"
"X11m int#1";"[0.704417051874679]";"[0.4322450567719571]";"[0.5508474576271186]";"[0.6715243568691844]";"[0.4707241910631741]";"[0.6460684093240423]";"[0.5508474576271186]";"[0.6715243568691844]"
"X21m int#2";"[0.6279661016949152]";"[0.5219129142937993]";"[0.5361581920903954]";"[0.6110950127177307]";"[0.6279661016949152]";"[0.5219129142937993]";"[0.5361581920903954]";"[0.6110950127177307]"
"X31m int#3";"[0.4707241910631741]";"[0.6460684093240423]";"[0.5508474576271186]";"[0.6715243568691844]";"[0.704417051874679]";"[0.4322450567719571]";"[0.5508474576271186]";"[0.6715243568691844]"
"S11m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S21m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S31m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q11m int#1";"[211.0]";"[564.0]";"[75.0]";"[302.0]";"[141.0]";"[843.0]";"[75.0]";"[302.0]"
"q21m int#2";"[170.99999999999997]";"[681.0]";"[72.99999999999999]";"[291.99999999999994]";"[170.99999999999997]";"[681.0]";"[72.99999999999999]";"[291.99999999999994]"
"q31m int#3";"[141.0]";"[843.0]";"[75.0]";"[302.0]";"[211.0]";"[564.0]";"[75.0]";"[302.0]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g12m int#1";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[65.00000000040376]";"[24.00000000038761]"
